name,cards.nodes.note,cards.nodes.content.id,cards.nodes.content.number,cards.nodes.content.title,cards.nodes.content,cards.pageInfo.hasNextPage,cards.pageInfo.endCursor,cards.totalCount
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NjkxNTI1ODM=,656,"Advertise the export-issues tutorial on Slack (@AGC), github-handbook, and share with DOTS",,,,
Done 🥳,CSS Migration: Completed with details at https://github.com/department-of-veterans-affairs/CSS-temp-migration/projects/1 @chocrates @zkoppert,MDU6SXNzdWU2NjkxNTI1ODM=,656,"Advertise the export-issues tutorial on Slack (@AGC), github-handbook, and share with DOTS",,,,
Done 🥳,"https://github.com/department-of-veterans-affairs/github-user-requests/issues/3087

https://github.com/githubcustomers/department-of-veterans-affairs/issues/628",MDU6SXNzdWU2NjkxNTI1ODM=,656,"Advertise the export-issues tutorial on Slack (@AGC), github-handbook, and share with DOTS",,,,
Done 🥳,"Create a value delivered blurb (sec. consultations, CI consultations, etc.) to post in slack and advertise to Angela, Delia, etc.",MDU6SXNzdWU2NjkxNTI1ODM=,656,"Advertise the export-issues tutorial on Slack (@AGC), github-handbook, and share with DOTS",,,,
Done 🥳,"Create a value delivered blurb (sec. consultations, CI consultations, etc.) to post in slack and advertise to Angela, Delia, etc.",MDU6SXNzdWU2NDc4MzY5NTk=,554,Security Playbook: Security Advisories,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-onboarding/issues/108,MDU6SXNzdWU2NDc4MzY5NTk=,554,Security Playbook: Security Advisories,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-onboarding/issues/108,MDU6SXNzdWU2NTQzMzQwMjE=,595,Migration Retro: VADIR,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-onboarding/issues/108,MDU6SXNzdWU2NDc4MzQ0MzU=,550,Security Playbook: Dependency Vulnerabilities,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-onboarding/issues/108,MDU6SXNzdWU2NDUwMDUyNjQ=,535,How can we drive consistent usage of GitHub Releases at the VA,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-onboarding/issues/108,MDU6SXNzdWU2NjkxODg3ODM=,659,Identify teams for advanced security,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-onboarding/issues/108,MDU6SXNzdWU2OTAyNzIyOTU=,768,Input Request: August Status Report,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/938,MDU6SXNzdWU2OTAyNzIyOTU=,768,Input Request: August Status Report,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/938,MDU6SXNzdWU2NDgzNjM1OTA=,562,GitHub Admin Documentation EPIC,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/938,MDU6SXNzdWU2NDA0ODI1NTI=,510,Develop Export Issues GUI,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/849,MDU6SXNzdWU2NDA0ODI1NTI=,510,Develop Export Issues GUI,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/919,MDU6SXNzdWU2NDA0ODI1NTI=,510,Develop Export Issues GUI,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/919,MDU6SXNzdWU2NTQzMzM3MzA=,594,Deliver inactive/active script to RPM team,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/919,MDU6SXNzdWU2NTA2OTM2MzY=,574,Migration tools: Would love to see this script,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/919,MDU6SXNzdWU2ODk1NjA0OTI=,766,Get open source code sharing metric to share with Angela next week (she's excited about the VA being a leader in the govt space) @Chocrates @jasonmacgowan @zkoppert,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/919,MDU6SXNzdWU2NzM4NDc2MTk=,673,Meeting notes: VA Communities of Practice,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/919,MDU6SXNzdWU2NDQyMDg2OTg=,528,Meeting notes: TRM Migration Initialization,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/919,MDU6SXNzdWU2Nzc5NTA0MTY=,703,Provide evidence of deliveries in Roadmap,,true,Mjc,178
