name,cards.nodes.note,cards.nodes.content.id,cards.nodes.content.number,cards.nodes.content.title,cards.nodes.content,cards.pageInfo.hasNextPage,cards.pageInfo.endCursor,cards.totalCount
Prioritized Backlog 🔢,"https://github.com/department-of-veterans-affairs/github-exporter/issues/42
",MDU6SXNzdWU2OTExNDAzNTk=,772,Common intake workflow with DOTS,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/github-exporter/issues/41,MDU6SXNzdWU2OTExNDAzNTk=,772,Common intake workflow with DOTS,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-code-project-template/issues/15,MDU6SXNzdWU2OTExNDAzNTk=,772,Common intake workflow with DOTS,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-code-project-template/issues/15,MDU6SXNzdWU2OTExNDY3MTc=,773,Unified Proposal with DOTS to AGC,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2OTExNDY3MTc=,773,Unified Proposal with DOTS to AGC,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2ODEzNzAyMzY=,722,Create VA repo to work on code.json POC,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2NjkxODAwMDA=,657,"Enhance export-cli to dump all the datastreams into one (releases, commits, milestones, pull requests)",,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2MzcwNDA4MTc=,478,`transition-to-github` Stale Bot bug,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2OTIzMzY2NzY=,781,Video on Jenkins and GHAS,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2ODAyNDUxMDE=,713,Add team as read-only to every repository,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2NzI4ODkwMzY=,670,IDEA: TL;DR on Security Tab in GitHub,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2NzAxMTAzNTM=,662,Automating discovery of PII,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2MTg1MDc5NTY=,355,Idea: need for a Eclipse and Git Setup to help developers reduce context switching during reviews,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2MzQ3NTAxNjU=,405,Allow querying of organization audit log by audit type,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/va-product-documentation-template/issues/27,MDU6SXNzdWU2NTQzMzA4MTI=,591,Clean up Actions Desk,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/supreme-robot/issues/23,MDU6SXNzdWU2NTQzMzA4MTI=,591,Clean up Actions Desk,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/supreme-robot/issues/23,MDU6SXNzdWU2OTg0ODQyMzM=,799,"Consolidate Devops working group repo, github-user-requests repo, transition to github",,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/supreme-robot/issues/23,MDU6SXNzdWU2Nzg1MzUyNTQ=,706,Automate code.gov json file delivery,,,,
Prioritized Backlog 🔢,https://github.com/department-of-veterans-affairs/supreme-robot/issues/23,MDU6SXNzdWU2NDUwMDQzMTc=,533,Would the JIRA Validator be of any use to the VA?,,,,
Prioritized Backlog 🔢,"zenhub and jira integration
https://github.com/department-of-veterans-affairs/github-user-requests/issues/2438",MDU6SXNzdWU2NDUwMDQzMTc=,533,Would the JIRA Validator be of any use to the VA?,,,,
Prioritized Backlog 🔢,Determine next steps for adv security pilot program,MDU6SXNzdWU2NDUwMDQzMTc=,533,Would the JIRA Validator be of any use to the VA?,,,,
Prioritized Backlog 🔢,Email follow up for Security webinar done manually,MDU6SXNzdWU2NDUwMDQzMTc=,533,Would the JIRA Validator be of any use to the VA?,,false,MzQ,34
Doing this Week (Committed) 🤝,,MDU6SXNzdWU2NzYxNDA2MjU=,686,Investigate re-instating permissions with /invite if the user previously existed,,,,
Doing this Week (Committed) 🤝,,MDU6SXNzdWU2NzQ1Nzg0MTU=,679,README support for teams to improve their landing page on github,,,,
Doing this Week (Committed) 🤝,,MDU6SXNzdWU2OTEyNzMxMjM=,774,Advanced Security Webinar Prep,,false,Mw,3
In Progress 🏃‍♂️,,MDU6SXNzdWU3MDM3MDMwMTE=,815,Create a report from Hackathon Issues.,,,,
In Progress 🏃‍♂️,,MDU6SXNzdWU2NzQ1NTgyOTY=,677,Let's write a team post!,,,,
In Progress 🏃‍♂️,,MDU6SXNzdWU2Nzk0MjYwNjE=,712,VA CASE Migration,,,,
In Progress 🏃‍♂️,,MDU6SXNzdWU2ODMwMjQ3OTE=,731,Team post: Migrations from RTC,,,,
In Progress 🏃‍♂️,,MDU6SXNzdWU2ODMwMjIzMjA=,728,Team post: GitHub enabling success within the VA,,,,
In Progress 🏃‍♂️,,MDU6SXNzdWU2MTYxODc4OTY=,337,Automate gathering metrics for roadmap goals,,,,
In Progress 🏃‍♂️,,MDU6SXNzdWU2NDUwMDQ1NDk=,534,Consider open sourcing issue-exporter. ,,,,
In Progress 🏃‍♂️,,MDU6SXNzdWU2NzUwOTIwMTg=,682,Investigate a report or tool to report on users without a verified domain email,,,,
In Progress 🏃‍♂️,,MDU6SXNzdWU2ODMwMjM5NTA=,730,Team post: Actions at the VA 6 months later,,,,
